additional_loans,installment_rate,account_status,applicant_age,housing_status,dependents,residence_years,is_foreign,property_value,repayment_history,guarantor,loan_amount,marital_gender,savings_category,num_existing_loans,employment_term,has_phone,loan_purpose,occupation,loan_duration,target
b'none',1.0,b'0<=X<200',23.0,b'own',1.0,2.0,b'yes',b'life insurance',b'existing paid',b'none',14555.0,b'male single',b'no known savings',1.0,b'unemployed',b'yes',b'new car',b'unemp/unskilled non res',6.0,b'bad'
b'bank',4.0,b'0<=X<200',61.0,b'rent',1.0,2.0,b'yes',b'car',b'existing paid',b'none',2767.0,b'male div/sep',b'100<=X<500',2.0,b'>=7',b'none',b'business',b'unskilled resident',21.0,b'bad'
b'none',4.0,b'no checking',35.0,b'own',1.0,2.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',1291.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'none',1.0,b'<0',39.0,b'own',2.0,3.0,b'yes',b'life insurance',b'existing paid',b'guarantor',2522.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',30.0,b'good'
b'bank',4.0,b'<0',29.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',915.0,b'female div/dep/mar',b'no known savings',1.0,b'>=7',b'none',b'new car',b'skilled',24.0,b'bad'
b'none',3.0,b'no checking',51.0,b'own',2.0,2.0,b'yes',b'life insurance',b'existing paid',b'none',1595.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'radio/tv',b'skilled',6.0,b'good'
b'none',3.0,b'<0',24.0,b'for free',2.0,4.0,b'yes',b'no known property',b'no credits/all paid',b'none',4605.0,b'male single',b'<100',2.0,b'>=7',b'none',b'used car',b'skilled',48.0,b'bad'
b'none',3.0,b'no checking',27.0,b'own',1.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1185.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'none',b'business',b'skilled',12.0,b'good'
b'none',4.0,b'no checking',35.0,b'own',2.0,3.0,b'yes',b'real estate',b'all paid',b'none',3447.0,b'female div/dep/mar',b'500<=X<1000',1.0,b'1<=X<4',b'none',b'retraining',b'unskilled resident',12.0,b'good'
b'none',4.0,b'no checking',25.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'none',1258.0,b'male single',b'<100',1.0,b'4<=X<7',b'yes',b'business',b'skilled',24.0,b'good'
b'none',4.0,b'no checking',52.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',717.0,b'male single',b'<100',3.0,b'>=7',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'bank',4.0,b'no checking',35.0,b'rent',1.0,1.0,b'no',b'no known property',b'no credits/all paid',b'none',1204.0,b'male single',b'100<=X<500',1.0,b'1<=X<4',b'none',b'new car',b'skilled',6.0,b'good'
b'none',2.0,b'>=200',26.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1925.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',3.0,b'no checking',22.0,b'rent',1.0,4.0,b'yes',b'real estate',b'existing paid',b'co applicant',433.0,b'female div/dep/mar',b'<100',1.0,b'unemployed',b'none',b'radio/tv',b'skilled',18.0,b'bad'
b'none',3.0,b'<0',39.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',666.0,b'female div/dep/mar',b'>=1000',2.0,b'4<=X<7',b'yes',b'new car',b'unskilled resident',6.0,b'good'
b'none',1.0,b'>=200',46.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',2251.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'unskilled resident',12.0,b'good'
b'bank',4.0,b'0<=X<200',24.0,b'own',1.0,2.0,b'yes',b'no known property',b'existing paid',b'guarantor',2150.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'new car',b'skilled',30.0,b'bad'
b'none',2.0,b'no checking',35.0,b'own',1.0,3.0,b'yes',b'life insurance',b'delayed previously',b'none',4151.0,b'male single',b'100<=X<500',2.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',2.0,b'0<=X<200',24.0,b'own',1.0,1.0,b'yes',b'car',b'existing paid',b'none',2030.0,b'male single',b'no known savings',1.0,b'4<=X<7',b'yes',b'furniture/equipment',b'skilled',9.0,b'good'
b'none',1.0,b'0<=X<200',27.0,b'own',1.0,1.0,b'yes',b'real estate',b'delayed previously',b'none',7418.0,b'male single',b'no known savings',1.0,b'1<=X<4',b'none',b'radio/tv',b'unskilled resident',60.0,b'good'
b'none',4.0,b'no checking',35.0,b'own',1.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'none',2684.0,b'male single',b'<100',2.0,b'1<=X<4',b'none',b'radio/tv',b'unskilled resident',24.0,b'good'
b'none',4.0,b'<0',29.0,b'for free',1.0,1.0,b'yes',b'no known property',b'all paid',b'none',2149.0,b'male div/sep',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',12.0,b'bad'
b'none',1.0,b'no checking',23.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',3812.0,b'female div/dep/mar',b'100<=X<500',1.0,b'<1',b'yes',b'used car',b'skilled',15.0,b'good'
b'none',4.0,b'no checking',57.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1154.0,b'female div/dep/mar',b'100<=X<500',3.0,b'unemployed',b'none',b'radio/tv',b'unskilled resident',11.0,b'good'
b'none',2.0,b'<0',27.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1657.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',12.0,b'good'
b'none',4.0,b'<0',55.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',1603.0,b'female div/dep/mar',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',24.0,b'good'
b'none',2.0,b'<0',36.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',5302.0,b'male single',b'<100',3.0,b'>=7',b'yes',b'new car',b'high qualif/self emp/mgmt',18.0,b'good'
b'bank',2.0,b'no checking',57.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',2748.0,b'female div/dep/mar',b'<100',3.0,b'>=7',b'none',b'education',b'unskilled resident',12.0,b'good'
b'none',3.0,b'no checking',32.0,b'own',2.0,4.0,b'no',b'real estate',b'critical/other existing credit',b'none',1231.0,b'male single',b'<100',2.0,b'>=7',b'none',b'new car',b'unskilled resident',10.0,b'good'
b'none',4.0,b'0<=X<200',37.0,b'own',2.0,3.0,b'yes',b'car',b'existing paid',b'none',802.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',15.0,b'bad'
b'none',4.0,b'no checking',36.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',6304.0,b'male single',b'no known savings',2.0,b'>=7',b'none',b'business',b'skilled',36.0,b'good'
b'stores',4.0,b'no checking',38.0,b'own',1.0,3.0,b'yes',b'car',b'existing paid',b'none',1533.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'radio/tv',b'skilled',24.0,b'good'
b'none',1.0,b'<0',45.0,b'own',1.0,4.0,b'no',b'life insurance',b'existing paid',b'none',8978.0,b'male div/sep',b'<100',1.0,b'>=7',b'yes',b'new car',b'high qualif/self emp/mgmt',14.0,b'bad'
b'none',4.0,b'no checking',25.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',999.0,b'male single',b'no known savings',2.0,b'>=7',b'none',b'radio/tv',b'skilled',24.0,b'good'
b'none',4.0,b'no checking',32.0,b'own',1.0,3.0,b'no',b'life insurance',b'existing paid',b'none',2662.0,b'male single',b'no known savings',1.0,b'4<=X<7',b'none',b'new car',b'skilled',18.0,b'good'
b'none',3.0,b'no checking',37.0,b'rent',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',1402.0,b'female div/dep/mar',b'500<=X<1000',1.0,b'4<=X<7',b'yes',b'furniture/equipment',b'skilled',12.0,b'good'
b'none',4.0,b'0<=X<200',36.0,b'for free',1.0,4.0,b'yes',b'no known property',b'all paid',b'co applicant',12169.0,b'male single',b'no known savings',1.0,b'unemployed',b'yes',b'new car',b'high qualif/self emp/mgmt',48.0,b'good'
b'none',4.0,b'0<=X<200',28.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',3060.0,b'male single',b'<100',2.0,b'4<=X<7',b'none',b'radio/tv',b'skilled',48.0,b'bad'
b'none',1.0,b'<0',34.0,b'own',1.0,1.0,b'yes',b'no known property',b'existing paid',b'none',11998.0,b'male div/sep',b'<100',1.0,b'<1',b'yes',b'repairs',b'unskilled resident',30.0,b'bad'
b'none',1.0,b'no checking',32.0,b'own',2.0,2.0,b'yes',b'real estate',b'existing paid',b'none',2697.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',9.0,b'good'
b'none',2.0,b'no checking',26.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',2404.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',18.0,b'good'
b'none',2.0,b'<0',49.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',1262.0,b'male div/sep',b'no known savings',1.0,b'>=7',b'yes',b'furniture/equipment',b'unskilled resident',12.0,b'good'
b'none',1.0,b'no checking',32.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',4611.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'furniture/equipment',b'skilled',6.0,b'bad'
b'none',4.0,b'no checking',29.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',1901.0,b'male single',b'100<=X<500',1.0,b'1<=X<4',b'yes',b'radio/tv',b'high qualif/self emp/mgmt',24.0,b'good'
b'none',3.0,b'no checking',23.0,b'rent',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',3368.0,b'male single',b'>=1000',2.0,b'>=7',b'yes',b'used car',b'skilled',15.0,b'good'
b'none',4.0,b'no checking',50.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1574.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',12.0,b'good'
b'bank',4.0,b'>=200',49.0,b'own',1.0,4.0,b'yes',b'car',b'all paid',b'none',1445.0,b'male single',b'no known savings',1.0,b'4<=X<7',b'none',b'radio/tv',b'unskilled resident',18.0,b'good'
b'none',4.0,b'no checking',63.0,b'own',1.0,4.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',1520.0,b'male single',b'no known savings',1.0,b'>=7',b'none',b'furniture/equipment',b'skilled',15.0,b'good'
b'none',4.0,b'0<=X<200',37.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',3878.0,b'male div/sep',b'100<=X<500',1.0,b'<1',b'yes',b'new car',b'skilled',24.0,b'good'
b'none',1.0,b'<0',35.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'none',10722.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'new car',b'unskilled resident',47.0,b'good'
b'none',4.0,b'<0',26.0,b'own',2.0,3.0,b'yes',b'life insurance',b'existing paid',b'none',4788.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'used car',b'skilled',48.0,b'good'
b'none',2.0,b'0<=X<200',31.0,b'for free',1.0,4.0,b'yes',b'no known property',b'delayed previously',b'none',7582.0,b'male single',b'100<=X<500',1.0,b'unemployed',b'yes',b'other',b'high qualif/self emp/mgmt',48.0,b'good'
b'none',4.0,b'0<=X<200',49.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'guarantor',1092.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',12.0,b'good'
b'stores',4.0,b'<0',48.0,b'own',1.0,4.0,b'yes',b'real estate',b'delayed previously',b'none',1024.0,b'male mar/wid',b'<100',1.0,b'<1',b'none',b'radio/tv',b'skilled',24.0,b'bad'
b'none',2.0,b'no checking',26.0,b'own',1.0,2.0,b'no',b'real estate',b'existing paid',b'none',1076.0,b'male mar/wid',b'<100',1.0,b'1<=X<4',b'yes',b'business',b'skilled',12.0,b'good'
b'none',1.0,b'0<=X<200',28.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',9398.0,b'male mar/wid',b'<100',1.0,b'<1',b'yes',b'used car',b'high qualif/self emp/mgmt',36.0,b'bad'
b'none',2.0,b'<0',44.0,b'for free',2.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',6419.0,b'female div/dep/mar',b'<100',2.0,b'>=7',b'yes',b'used car',b'high qualif/self emp/mgmt',24.0,b'good'
b'none',4.0,b'>=200',56.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',4796.0,b'male single',b'<100',1.0,b'>=7',b'none',b'used car',b'skilled',42.0,b'good'
b'bank',4.0,b'no checking',46.0,b'own',2.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',7629.0,b'male div/sep',b'no known savings',2.0,b'>=7',b'none',b'business',b'high qualif/self emp/mgmt',48.0,b'good'
b'none',1.0,b'0<=X<200',26.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',9960.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'furniture/equipment',b'skilled',48.0,b'bad'
b'none',1.0,b'no checking',20.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',4675.0,b'female div/dep/mar',b'no known savings',1.0,b'<1',b'none',b'used car',b'skilled',12.0,b'good'
b'none',4.0,b'no checking',45.0,b'own',1.0,2.0,b'no',b'life insurance',b'existing paid',b'co applicant',1287.0,b'male single',b'no known savings',1.0,b'>=7',b'none',b'new car',b'unskilled resident',10.0,b'good'
b'none',3.0,b'no checking',43.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',2515.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'furniture/equipment',b'skilled',18.0,b'good'
b'none',3.0,b'0<=X<200',32.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',2745.0,b'male single',b'>=1000',2.0,b'4<=X<7',b'yes',b'furniture/equipment',b'skilled',21.0,b'good'
b'none',1.0,b'no checking',54.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',672.0,b'female div/dep/mar',b'<100',1.0,b'unemployed',b'yes',b'new car',b'unemp/unskilled non res',6.0,b'good'
b'none',4.0,b'0<=X<200',42.0,b'own',1.0,1.0,b'yes',b'car',b'no credits/all paid',b'none',3804.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',36.0,b'bad'
b'bank',4.0,b'>=200',37.0,b'own',2.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1344.0,b'male single',b'no known savings',2.0,b'4<=X<7',b'none',b'new car',b'unskilled resident',24.0,b'bad'
b'none',4.0,b'<0',49.0,b'own',1.0,3.0,b'yes',b'life insurance',b'critical/other existing credit',b'co applicant',1038.0,b'male single',b'<100',2.0,b'4<=X<7',b'yes',b'new car',b'skilled',10.0,b'good'
b'bank',2.0,b'no checking',44.0,b'for free',1.0,2.0,b'yes',b'no known property',b'critical/other existing credit',b'none',10127.0,b'male single',b'500<=X<1000',1.0,b'1<=X<4',b'none',b'new car',b'skilled',48.0,b'bad'
b'none',4.0,b'no checking',33.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1543.0,b'male div/sep',b'>=1000',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',6.0,b'good'
b'stores',2.0,b'no checking',24.0,b'rent',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',4811.0,b'female div/dep/mar',b'no known savings',1.0,b'4<=X<7',b'none',b'used car',b'unskilled resident',30.0,b'good'
b'none',4.0,b'<0',33.0,b'own',1.0,3.0,b'yes',b'no known property',b'existing paid',b'none',727.0,b'male mar/wid',b'100<=X<500',1.0,b'<1',b'yes',b'radio/tv',b'unskilled resident',12.0,b'bad'
b'none',3.0,b'0<=X<200',24.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',1237.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',8.0,b'bad'
b'none',4.0,b'0<=X<200',22.0,b'rent',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',276.0,b'male mar/wid',b'<100',1.0,b'1<=X<4',b'none',b'new car',b'unskilled resident',9.0,b'good'
b'bank',3.0,b'0<=X<200',40.0,b'for free',1.0,4.0,b'yes',b'no known property',b'existing paid',b'none',5381.0,b'male single',b'no known savings',1.0,b'unemployed',b'yes',b'other',b'unemp/unskilled non res',48.0,b'good'
b'stores',4.0,b'no checking',25.0,b'own',1.0,1.0,b'yes',b'car',b'existing paid',b'none',5511.0,b'male single',b'100<=X<500',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',2.0,b'>=200',26.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',3749.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'bank',2.0,b'0<=X<200',25.0,b'own',1.0,3.0,b'yes',b'car',b'existing paid',b'none',685.0,b'male mar/wid',b'<100',1.0,b'4<=X<7',b'none',b'new car',b'unskilled resident',12.0,b'bad'
b'none',1.0,b'>=200',29.0,b'own',2.0,2.0,b'no',b'real estate',b'existing paid',b'none',1494.0,b'male single',b'no known savings',1.0,b'<1',b'none',b'new car',b'unskilled resident',4.0,b'good'
b'bank',4.0,b'<0',31.0,b'own',1.0,4.0,b'yes',b'car',b'all paid',b'none',2746.0,b'male single',b'<100',1.0,b'>=7',b'none',b'furniture/equipment',b'skilled',36.0,b'bad'
b'none',2.0,b'<0',38.0,b'own',2.0,3.0,b'yes',b'life insurance',b'existing paid',b'guarantor',708.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'unskilled resident',12.0,b'good'
b'none',1.0,b'0<=X<200',48.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',4351.0,b'female div/dep/mar',b'no known savings',1.0,b'1<=X<4',b'yes',b'furniture/equipment',b'unskilled resident',24.0,b'good'
b'none',4.0,b'no checking',32.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',701.0,b'male single',b'<100',2.0,b'1<=X<4',b'none',b'education',b'skilled',12.0,b'good'
b'none',1.0,b'<0',27.0,b'own',1.0,4.0,b'yes',b'life insurance',b'delayed previously',b'none',3643.0,b'female div/dep/mar',b'<100',2.0,b'>=7',b'none',b'furniture/equipment',b'unskilled resident',15.0,b'good'
b'none',4.0,b'0<=X<200',28.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',4249.0,b'male mar/wid',b'<100',2.0,b'unemployed',b'none',b'new car',b'high qualif/self emp/mgmt',30.0,b'bad'
b'none',4.0,b'<0',32.0,b'own',1.0,3.0,b'yes',b'life insurance',b'existing paid',b'none',1938.0,b'male div/sep',b'<100',1.0,b'<1',b'none',b'radio/tv',b'skilled',24.0,b'bad'
b'none',2.0,b'<0',34.0,b'for free',1.0,1.0,b'yes',b'no known property',b'existing paid',b'none',2910.0,b'male single',b'<100',1.0,b'4<=X<7',b'yes',b'used car',b'high qualif/self emp/mgmt',24.0,b'good'
b'none',4.0,b'<0',28.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',2659.0,b'male single',b'>=1000',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',18.0,b'good'
b'none',4.0,b'no checking',36.0,b'own',1.0,3.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1028.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'none',b'new car',b'skilled',18.0,b'good'
b'none',1.0,b'<0',39.0,b'own',1.0,4.0,b'no',b'real estate',b'critical/other existing credit',b'none',3398.0,b'male single',b'<100',2.0,b'4<=X<7',b'none',b'new car',b'unskilled resident',8.0,b'good'
b'none',2.0,b'no checking',49.0,b'rent',1.0,4.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',5801.0,b'male single',b'no known savings',1.0,b'>=7',b'yes',b'furniture/equipment',b'skilled',12.0,b'good'
b'none',4.0,b'no checking',34.0,b'own',2.0,3.0,b'yes',b'car',b'existing paid',b'none',1525.0,b'female div/dep/mar',b'>=1000',1.0,b'4<=X<7',b'yes',b'new car',b'skilled',24.0,b'good'
b'none',4.0,b'>=200',31.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',4473.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'none',4.0,b'0<=X<200',28.0,b'own',2.0,4.0,b'yes',b'car',b'existing paid',b'none',1068.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',6.0,b'good'
b'none',2.0,b'<0',75.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',6615.0,b'male single',b'<100',2.0,b'unemployed',b'yes',b'used car',b'high qualif/self emp/mgmt',24.0,b'good'
b'none',4.0,b'no checking',30.0,b'own',1.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1864.0,b'female div/dep/mar',b'100<=X<500',2.0,b'1<=X<4',b'none',b'education',b'skilled',18.0,b'bad'
b'none',4.0,b'0<=X<200',24.0,b'own',1.0,2.0,b'yes',b'life insurance',b'existing paid',b'none',7408.0,b'female div/dep/mar',b'100<=X<500',1.0,b'<1',b'none',b'new car',b'high qualif/self emp/mgmt',60.0,b'bad'
b'bank',2.0,b'no checking',24.0,b'rent',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',11590.0,b'female div/dep/mar',b'100<=X<500',2.0,b'1<=X<4',b'none',b'used car',b'unskilled resident',48.0,b'bad'
b'bank',3.0,b'<0',23.0,b'rent',2.0,4.0,b'yes',b'no known property',b'no credits/all paid',b'none',4110.0,b'male single',b'<100',2.0,b'>=7',b'none',b'furniture/equipment',b'skilled',24.0,b'bad'
b'none',1.0,b'<0',44.0,b'rent',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',3384.0,b'male div/sep',b'<100',1.0,b'1<=X<4',b'yes',b'furniture/equipment',b'high qualif/self emp/mgmt',6.0,b'bad'
b'none',2.0,b'0<=X<200',23.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'guarantor',2101.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'radio/tv',b'unskilled resident',13.0,b'good'
b'none',4.0,b'<0',24.0,b'rent',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1275.0,b'female div/dep/mar',b'no known savings',1.0,b'1<=X<4',b'none',b'domestic appliance',b'skilled',15.0,b'bad'
b'none',4.0,b'<0',28.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',4169.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',4.0,b'0<=X<200',31.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1521.0,b'male div/sep',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'unskilled resident',10.0,b'good'
b'none',2.0,b'0<=X<200',24.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',5743.0,b'female div/dep/mar',b'<100',2.0,b'<1',b'yes',b'education',b'skilled',24.0,b'good'
b'none',1.0,b'<0',26.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',3599.0,b'female div/dep/mar',b'<100',1.0,b'4<=X<7',b'none',b'furniture/equipment',b'unskilled resident',21.0,b'good'
b'none',1.0,b'0<=X<200',25.0,b'rent',1.0,3.0,b'yes',b'real estate',b'existing paid',b'none',3213.0,b'male mar/wid',b'500<=X<1000',1.0,b'<1',b'none',b'radio/tv',b'skilled',18.0,b'good'
b'bank',1.0,b'0<=X<200',33.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'co applicant',4439.0,b'male single',b'<100',1.0,b'>=7',b'yes',b'business',b'high qualif/self emp/mgmt',18.0,b'good'
b'none',1.0,b'>=200',37.0,b'own',2.0,1.0,b'yes',b'life insurance',b'existing paid',b'guarantor',3949.0,b'male single',b'<100',1.0,b'<1',b'none',b'new car',b'unskilled resident',10.0,b'good'
b'none',4.0,b'no checking',43.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',1459.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'unskilled resident',15.0,b'good'
b'none',4.0,b'0<=X<200',23.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'guarantor',882.0,b'male single',b'<100',2.0,b'<1',b'none',b'radio/tv',b'skilled',13.0,b'good'
b'none',1.0,b'0<=X<200',23.0,b'rent',1.0,4.0,b'yes',b'no known property',b'existing paid',b'none',3758.0,b'female div/dep/mar',b'500<=X<1000',1.0,b'unemployed',b'none',b'radio/tv',b'unemp/unskilled non res',24.0,b'good'
b'none',1.0,b'no checking',34.0,b'own',1.0,2.0,b'yes',b'real estate',b'delayed previously',b'none',1743.0,b'male single',b'100<=X<500',2.0,b'1<=X<4',b'none',b'business',b'unskilled resident',6.0,b'good'
b'none',4.0,b'0<=X<200',32.0,b'for free',2.0,3.0,b'yes',b'no known property',b'critical/other existing credit',b'none',1136.0,b'male single',b'>=1000',2.0,b'>=7',b'none',b'education',b'skilled',9.0,b'bad'
b'none',1.0,b'no checking',23.0,b'rent',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',1236.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'domestic appliance',b'skilled',9.0,b'good'
b'none',1.0,b'0<=X<200',29.0,b'own',1.0,2.0,b'no',b'car',b'existing paid',b'none',959.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',9.0,b'bad'
b'none',2.0,b'no checking',38.0,b'own',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',3229.0,b'male single',b'no known savings',1.0,b'unemployed',b'yes',b'used car',b'high qualif/self emp/mgmt',18.0,b'good'
b'none',4.0,b'<0',28.0,b'rent',1.0,2.0,b'yes',b'life insurance',b'no credits/all paid',b'none',6199.0,b'male single',b'<100',2.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',12.0,b'bad'
b'none',4.0,b'no checking',46.0,b'for free',1.0,4.0,b'yes',b'no known property',b'existing paid',b'none',727.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'yes',b'education',b'skilled',10.0,b'good'
b'stores',4.0,b'0<=X<200',23.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1246.0,b'male single',b'<100',1.0,b'<1',b'none',b'new car',b'unskilled resident',24.0,b'bad'
b'none',1.0,b'no checking',49.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'co applicant',2331.0,b'male single',b'no known savings',1.0,b'>=7',b'yes',b'radio/tv',b'skilled',12.0,b'good'
b'none',4.0,b'no checking',26.0,b'own',1.0,2.0,b'yes',b'car',b'delayed previously',b'none',4463.0,b'male single',b'<100',2.0,b'1<=X<4',b'yes',b'radio/tv',b'high qualif/self emp/mgmt',36.0,b'bad'
